time[s],deltaTime[s],rainfall[m],totalWaterLevel[m],surfaceFlow[m3/s],surfaceVolRunoff[m3]
224.5244,2.1949,0.000304847,0.011022554,0.029064586,0.063793861
226.7193,2.1949,0.000304847,0.01102268,0.029065169,0.06379514
228.9142,2.1949,0.000304847,0.011022803,0.029065742,0.063796398
231.1091,2.1949,0.000304847,0.011022924,0.029066306,0.063797634
233.304,2.1949,0.000304847,0.011023044,0.029066859,0.063798849
235.4989,2.1949,0.000304847,0.011023161,0.029067403,0.063800044
237.6938,2.1949,0.000304847,0.011023276,0.029067939,0.063801218
239.8887,2.1949,0.000304847,0.01102339,0.029068465,0.063802374
242.0836,2.1949,0.000304847,0.011023501,0.029068983,0.063803511
244.2785,2.1949,0.000304847,0.011023611,0.029069493,0.063804629
246.4734,2.1949,0.000304847,0.011023719,0.029069994,0.06380573
248.6683,2.1949,0.000304847,0.011023826,0.029070488,0.063806813
250.8632,2.1949,0.000304847,0.011023931,0.029070974,0.06380788
253.0581,2.1949,0.000304847,0.011024034,0.029071452,0.06380893
255.253,2.1949,0.000304847,0.011024135,0.029071923,0.063809964
257.4479,2.1949,0.000304847,0.011024236,0.029072387,0.063810983
259.6428,2.1949,0.000304847,0.011024334,0.029072844,0.063811986
261.8377,2.1949,0.000304847,0.011024431,0.029073295,0.063812975
264.0326,2.1949,0.000304847,0.011024527,0.029073739,0.063813949
266.2275,2.1949,0.000304847,0.011024622,0.029074176,0.063814909
268.4224,2.1949,0.000304847,0.011024715,0.029074607,0.063815856
270.6173,2.1949,0.000304847,0.011024807,0.029075032,0.063816789
272.8122,2.1949,0.000304847,0.011024897,0.029075452,0.063817708
275.0071,2.1949,0.000304847,0.011024987,0.029075865,0.063818616
277.202,2.1949,0.000304847,0.011025075,0.029076272,0.06381951
279.3969,2.1949,0.000304847,0.011025161,0.029076674,0.063820393
281.5918,2.1949,0.000304847,0.011025247,0.029077071,0.063821263
283.7867,2.1949,0.000304847,0.011025332,0.029077462,0.063822122
285.9816,2.1949,0.000304847,0.011025415,0.029077848,0.063822969
288.1765,2.1949,0.000304847,0.011025498,0.029078229,0.063823805
290.3714,2.1949,0.000304847,0.011025579,0.029078605,0.063824631
292.5663,2.1949,0.000304847,0.011025659,0.029078976,0.063825445
294.7612,2.1949,0.000304847,0.011025738,0.029079343,0.06382625
296.9561,2.1949,0.000304847,0.011025817,0.029079705,0.063827044
299.151,2.1949,0.000304847,0.011025894,0.029080062,0.063827828
301.3459,2.1949,0.000304847,0.01102597,0.029080415,0.063828602
303.5408,2.1949,0.000304847,0.011026046,0.029080763,0.063829367
305.7357,2.1949,0.000304847,0.01102612,0.029081107,0.063830122
307.9306,2.1949,0.000304847,0.011026194,0.029081447,0.063830868
310.1255,2.1949,0.000304847,0.011026266,0.029081783,0.063831605
312.3204,2.1949,0.000304847,0.011026338,0.029082115,0.063832333
314.5153,2.1949,0.000304847,0.011026409,0.029082442,0.063833053
316.7102,2.1949,0.000304847,0.011026479,0.029082766,0.063833764
318.9051,2.1949,0.000304847,0.011026549,0.029083087,0.063834467
321.1,2.1949,0.000304847,0.011026617,0.029083403,0.063835161
323.2949,2.1949,0.000304847,0.011026685,0.029083716,0.063835848
325.4898,2.1949,0.000304847,0.011026752,0.029084025,0.063836527
327.6847,2.1949,0.000304847,0.011026818,0.029084331,0.063837198
329.8796,2.1949,0.000304847,0.011026883,0.029084633,0.063837861
332.0745,2.1949,0.000304847,0.011026948,0.029084932,0.063838518
334.2694,2.1949,0.000304847,0.011027012,0.029085228,0.063839166
336.4643,2.1949,0.000304847,0.011027076,0.02908552,0.063839808
338.6592,2.1949,0.000304847,0.011027138,0.029085809,0.063840443
340.8541,2.1949,0.000304847,0.0110272,0.029086095,0.063841071
343.049,2.1949,0.000304847,0.011027262,0.029086378,0.063841692
345.2439,2.1949,0.000304847,0.011027322,0.029086658,0.063842307
347.4388,2.1949,0.000304847,0.011027382,0.029086935,0.063842915
349.6337,2.1949,0.000304847,0.011027442,0.029087209,0.063843516
351.8286,2.1949,0.000304847,0.0110275,0.029087481,0.063844111
354.0235,2.1949,0.000304847,0.011027559,0.029087749,0.063844701
356.2184,2.1949,0.000304847,0.011027616,0.029088015,0.063845284
358.4133,2.1949,0.000304847,0.011027673,0.029088278,0.063845861
360.6082,2.1949,0.000304847,0.01102773,0.029088538,0.063846432
362.8031,2.1949,0.000304847,0.011027785,0.029088796,0.063846997
364.998,2.1949,0.000304847,0.011027841,0.029089051,0.063847557
367.1929,2.1949,0.000304847,0.011027896,0.029089303,0.063848111
369.3878,2.1949,0.000304847,0.01102795,0.029089553,0.06384866
371.5827,2.1949,0.000304847,0.011028003,0.029089801,0.063849203
373.7776,2.1949,0.000304847,0.011028057,0.029090046,0.063849742
375.9725,2.1949,0.000304847,0.011028109,0.029090289,0.063850274
378.1674,2.1949,0.000304847,0.011028161,0.029090529,0.063850802
380.3623,2.1949,0.000304847,0.011028213,0.029090767,0.063851325
382.5572,2.1949,0.000304847,0.011028264,0.029091003,0.063851842
384.7521,2.1949,0.000304847,0.011028315,0.029091237,0.063852355
386.947,2.1949,0.000304847,0.011028365,0.029091468,0.063852863
