# Hydrograph at the point with coordinates: 5.47504171301 14.2799638487
# A pixel size is [m2]:
# 1.0
# time[s];deltaTime[s];Rainfall[m];Water_level_[m];Sheet_Flow[m3/s];Sheet_V_runoff[m3];Sheet_V_rest[m3];Infiltration[m];Surface_retetion[m];State;V_inflow[m3];WlevelTotal[m];SurfaceBil[m3];V_to_rill.m3.;ratio;courant;courantrill;iter
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;1.95;1.95;0
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
40.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
60.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
80.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
100.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
120.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
140.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
160.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
180.0;20.0;0.000280000001192;0.0;0.0;0.0;0.0;0;0.000280000001192;0;0.0;0.0;0.0;0.0;1;0;0;1
200.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
220.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
240.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0.000100639464951;5.33333321412e-05;0;0.0;0.000179360536241;0.0;0.0;1;0;0;1
260.0;20.0;0.000333333333333;0.000179360536241;2.52052947116e-06;5.04105894232e-05;0.000128949946818;9.88110004982e-05;0;0;4.95914640068e-05;0.00041306374366;0.0;0.0;1;0.904473844149;0;1
271.4998;11.4998;0.000191663333333;0.00041306374366;1.08336556964e-05;0.000124584873777;0.000288478869883;5.6343509225e-05;0;0;0.000122593417906;0.000546392111897;0.0;0.0;1;0.949996555684;0;2
281.0843;9.5845;0.000159741666667;0.000546392111897;1.76658651046e-05;0.000169318484095;0.000377073627801;4.66754725454e-05;0;0;0.000166681884063;0.000656821705986;0.0;0.0;1;0.950001569141;0;2
289.5886;8.5043;0.000141738333333;0.000656821705986;2.43711155039e-05;0.00020725927758;0.000449562428406;4.12152631351e-05;0;0;0.000204114197981;0.000754199696585;0.0;0.0;1;0.950001044869;0;2
297.3634;7.7748;0.00012958;0.000754199696585;3.10329692681e-05;0.000241275129466;0.00051292456712;3.75279243126e-05;0;0;0.000237704977917;0.000842681620724;1.08420217249e-19;0.0;1;0.950000759532;0;2
304.5984;7.235;0.000120583333333;0.000842681620724;3.76735913941e-05;0.000272568433736;0.000570113186988;3.48012283974e-05;0;0;0.000268632842827;0.000924528134751;0.0;0.0;1;0.949997640883;0;2
311.411;6.8126;0.000113543333333;0.000924528134751;4.43001889455e-05;0.00030179946721;0.000622728667541;3.26695767436e-05;0;0;0.000297544277083;0.00100114670121;0.0;0.0;1;0.950001701637;0;2
317.8801;6.4691;0.000107818333333;0.00100114670121;5.09151707567e-05;0.000329375331142;0.000671771370071;3.09380364335e-05;0;0;0.000324837404517;0.00107348907149;0.0;0.0;1;0.949994438143;0;2
324.0622;6.1821;0.000103035;0.00107348907149;5.75190153022e-05;0.0003555883045;0.000717900766988;2.94929896317e-05;0;0;0.000350797924354;0.00114224070171;0.0;0.0;1;0.950006182293;0;2
329.9992;5.937;9.895e-05;0.00114224070171;6.41117350081e-05;0.000380631370743;0.000761609330967;2.82604415564e-05;0;0;0.000375614167531;0.00120791305694;-2.16840434497e-19;0.0;1;0.950002537187;0;2
335.7235;5.7243;9.5405e-05;0.00120791305694;7.0692860017e-05;0.000404667138595;0.000803245918346;2.71921320723e-05;0;0;0.000399444906688;0.00127090369296;2.16840434497e-19;0.0;1;0.950005197124;0;2
341.2606;5.5371;9.2285e-05;0.00127090369296;7.72620254512e-05;0.000427807561126;0.000843096131836;2.62530771831e-05;0;0;0.000422399243687;0.00133152729834;2.16840434497e-19;0.0;1;0.949992042245;0;2
346.6313;5.3707;8.95116666667e-05;0.00133152729834;8.38187389061e-05;0.000450165301043;0.000881361997297;2.54193420867e-05;0;0;0.000444587228985;0.00139004155086;0.0;0.0;1;0.949998531083;0;2
