# Hydrograph at the point with coordinates: 3.11524736794 88.4727106691
# A pixel size is [m2]:
# 1.0
# time[s];deltaTime[s];Rainfall[m];Water_level_[m];Sheet_Flow[m3/s];Sheet_V_runoff[m3];Sheet_V_rest[m3];Infiltration[m];Surface_retetion[m];State;V_inflow[m3];WlevelTotal[m];SurfaceBil[m3];V_to_rill.m3.;ratio;courant;courantrill;iter
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;1.95;1.95;0
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
40.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
60.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
80.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
100.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
120.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
140.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
160.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
180.0;20.0;0.000280000001192;0.0;0.0;0.0;0.0;0;0.000280000001192;0;0.0;0.0;0.0;0.0;1;0;0;1
200.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
220.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
240.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0.000100639464951;5.33333321412e-05;0;0.0;0.000179360536241;0.0;0.0;1;0;0;1
260.0;20.0;0.000333333333333;0.000179360536241;1.61740803476e-06;3.23481606951e-05;0.000147012375546;9.88110004982e-05;0;0;3.22592576043e-05;0.000413793965986;0.0;0.0;1;0.904473844149;0;1
271.4998;11.4998;0.000191663333333;0.000413793965986;6.97338584069e-06;8.01925424908e-05;0.000333601423495;5.6343509225e-05;0;0;7.99725465806e-05;0.000548893794184;1.08420217249e-19;0.0;1;0.949996555684;0;2
281.0843;9.5845;0.000159741666667;0.000548893794184;1.14269567358e-05;0.000109521666834;0.000439372127349;4.66754725454e-05;0;0;0.000109222077543;0.000661660399013;0.0;0.0;1;0.950001569141;0;2
289.5886;8.5043;0.000141738333333;0.000661660399013;1.58407313902e-05;0.000134714331961;0.000526946067052;4.12152631351e-05;0;0;0.000134346907455;0.000761816044705;-1.08420217249e-19;0.0;1;0.950001044869;0;2
297.3634;7.7748;0.00012958;0.000761816044705;2.02665116889e-05;0.000157568075079;0.000604247969626;3.75279243126e-05;0;0;0.000157139602689;0.000853439648002;0.0;0.0;1;0.950000759532;0;2
304.5984;7.235;0.000120583333333;0.000853439648002;2.47169616606e-05;0.000178827217614;0.000674612430388;3.48012283974e-05;0;0;0.000178342425498;0.000938736960823;0.0;0.0;1;0.949997640883;0;2
311.411;6.8126;0.000113543333333;0.000938736960823;2.91952213714e-05;0.000198895365115;0.000739841595708;3.26695767436e-05;0;0;0.000198357858949;0.00101907321125;0.0;0.0;1;0.950001701637;0;2
317.8801;6.4691;0.000107818333333;0.00101907321125;3.37014059406e-05;0.00021801776517;0.000801055446076;3.09380364335e-05;0;0;0.000217430459867;0.00109536620284;0.0;0.0;1;0.949994438143;0;2
324.0622;6.1821;0.000103035;0.00109536620284;3.82344394115e-05;0.000236369127886;0.000858997074956;2.94929896317e-05;0;0;0.000235734439382;0.00116827352471;0.0;0.0;1;0.950006182293;0;2
329.9992;5.937;9.895e-05;0.00116827352471;4.27930118471e-05;0.000254062111336;0.00091421141337;2.82604415564e-05;0;0;0.00025338212585;0.00123828309766;0.0;0.0;1;0.950002537187;0;2
335.7235;5.7243;9.5405e-05;0.00123828309766;4.73755507098e-05;0.000271191864928;0.000967091232735;2.71921320723e-05;0;0;0.000270467282953;0.00130577138362;0.0;0.0;1;0.950005197124;0;2
341.2606;5.5371;9.2285e-05;0.00130577138362;5.19805392567e-05;0.000287821443918;0.0010179499397;2.62530771831e-05;0;0;0.000287046192971;0.00137102805549;0.0;0.0;1;0.949992042245;0;2
346.6313;5.3707;8.95116666667e-05;0.00137102805549;5.66059410082e-05;0.000304013527373;0.00106701452811;2.54193420867e-05;0;0;0.000303161567078;0.00143426841977;-2.16840434497e-19;0.0;1;0.949998531083;0;2
