# Hydrograph at the point with coordinates: 3.11524736794 69.0903221649
# A pixel size is [m2]:
# 1.0
# time[s];deltaTime[s];Rainfall[m];Water_level_[m];Sheet_Flow[m3/s];Sheet_V_runoff[m3];Sheet_V_rest[m3];Infiltration[m];Surface_retetion[m];State;V_inflow[m3];WlevelTotal[m];SurfaceBil[m3];V_to_rill.m3.;ratio;courant;courantrill;iter
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;1.95;1.95;0
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
40.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
60.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
80.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
100.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
120.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
140.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
160.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
180.0;20.0;0.000280000001192;0.0;0.0;0.0;0.0;0;0.000280000001192;0;0.0;0.0;0.0;0.0;1;0;0;1
200.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
220.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
240.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0.000100639464951;5.33333321412e-05;0;0.0;0.000179360536241;0.0;0.0;1;0;0;1
260.0;20.0;0.000333333333333;0.000179360536241;1.71612018112e-06;3.43224036225e-05;0.000145038132619;9.88110004982e-05;0;0;3.42024656744e-05;0.000413762931128;0.0;0.0;1;0.904473844149;0;1
271.4998;11.4998;0.000191663333333;0.000413762931128;7.398009066e-06;8.50756246572e-05;0.000328687306471;5.6343509225e-05;0;0;8.47790452846e-05;0.000548786175864;1.08420217249e-19;0.0;1;0.949996555684;0;2
281.0843;9.5845;0.000159741666667;0.000548786175864;1.21202012027e-05;0.000116166068427;0.000432620107437;4.66754725454e-05;0;0;0.000115762703297;0.000661449004855;1.08420217249e-19;0.0;1;0.950001569141;0;2
289.5886;8.5043;0.000141738333333;0.000661449004855;1.67981228545e-05;0.000142856276192;0.000518592728663;4.12152631351e-05;0;0;0.000142362275182;0.000761478074044;-1.08420217249e-19;0.0;1;0.950001044869;0;2
297.3634;7.7748;0.00012958;0.000761478074044;2.14867259469e-05;0.000167054996892;0.000594423077152;3.75279243126e-05;0;0;0.000166479734826;0.000852954887665;0.0;0.0;1;0.950000759532;0;2
304.5984;7.235;0.000120583333333;0.000852954887665;2.6199431186e-05;0.000189552884631;0.000663402003034;3.48012283974e-05;0;0;0.000188902905702;0.000938087013672;0.0;0.0;1;0.949997640883;0;2
311.411;6.8126;0.000113543333333;0.000938087013672;3.09395567403e-05;0.000210778824249;0.000727308189422;3.26695767436e-05;0;0;0.000210059126452;0.00101824107246;0.0;0.0;1;0.950001701637;0;2
317.8801;6.4691;0.000107818333333;0.00101824107246;3.57072147855e-05;0.000230993543169;0.000787247529295;3.09380364335e-05;0;0;0.000230208177866;0.00109433600406;0.0;0.0;1;0.949994438143;0;2
324.0622;6.1821;0.000103035;0.00109433600406;4.05012578248e-05;0.000250382825999;0.000843953178063;2.94929896317e-05;0;0;0.000249535167885;0.00116703035632;2.16840434497e-19;0.0;1;0.950006182293;0;2
329.9992;5.937;9.895e-05;0.00116703035632;4.53202933761e-05;0.000269066581774;0.000897963774542;2.82604415564e-05;0;0;0.000268159561395;0.00123681289438;0.0;0.0;1;0.950002537187;0;2
335.7235;5.7243;9.5405e-05;0.00123681289438;5.0162654405e-05;0.000287146082611;0.000949666811769;2.71921320723e-05;0;0;0.000286182254518;0.00130406193421;0.0;0.0;1;0.950005197124;0;2
341.2606;5.5371;9.2285e-05;0.00130406193421;5.50268174548e-05;0.000304688990929;0.000999372943286;2.62530771831e-05;0;0;0.000303670650727;0.00136907551683;0.0;0.0;1;0.949992042245;0;2
346.6313;5.3707;8.95116666667e-05;0.00136907551683;5.99112268909e-05;0.000321765226263;0.00104731029057;2.54193420867e-05;0;0;0.000320694406203;0.00143209702135;0.0;0.0;1;0.949998531083;0;2
