# Hydrograph at the point with coordinates: 4.03167235632 38.8516088496
# A pixel size is [m2]:
# 1.0
# time[s];deltaTime[s];Rainfall[m];Water_level_[m];Sheet_Flow[m3/s];Sheet_V_runoff[m3];Sheet_V_rest[m3];Infiltration[m];Surface_retetion[m];State;V_inflow[m3];WlevelTotal[m];SurfaceBil[m3];V_to_rill.m3.;ratio;courant;courantrill;iter
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;1.95;1.95;0
20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
40.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
60.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
80.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
100.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
120.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
140.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
160.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1;0;0;1
180.0;20.0;0.000280000001192;0.0;0.0;0.0;0.0;0;0.000280000001192;0;0.0;0.0;0.0;0.0;1;0;0;1
200.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
220.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0;0.000333333333333;0;0.0;0.0;0.0;0.0;1;0;0;1
240.0;20.0;0.000333333333333;0.0;0.0;0.0;0.0;0.000100639464951;5.33333321412e-05;0;0.0;0.000179360536241;0.0;0.0;1;0;0;1
260.0;20.0;0.000333333333333;0.000179360536241;1.97108534332e-06;3.94217068664e-05;0.000139938829375;9.88110004982e-05;0;0;3.91807921594e-05;0.000413641954369;0.0;0.0;1;0.904473844149;0;1
271.4998;11.4998;0.000191663333333;0.000413641954369;8.49279411876e-06;9.7665433807e-05;0.000315976520562;5.6343509225e-05;0;0;9.70715503751e-05;0.000548367895046;0.0;0.0;1;0.949996555684;0;2
281.0843;9.5845;0.000159741666667;0.000548367895046;1.39023661605e-05;0.000133247228466;0.00041512066658;4.66754725454e-05;0;0;0.000132443497512;0.000660630358213;1.08420217249e-19;0.0;1;0.950001569141;0;2
289.5886;8.5043;0.000141738333333;0.000660630358213;1.92521101783e-05;0.00016372572059;0.000496904637624;4.12152631351e-05;0;0;0.000162746251461;0.000760173959283;-1.08420217249e-19;0.0;1;0.950001044869;0;2
297.3634;7.7748;0.00012958;0.000760173959283;2.46051908512e-05;0.00019130043783;0.000568873521453;3.75279243126e-05;0;0;0.000190165448612;0.000851091045752;0.0;0.0;1;0.950000759532;0;2
304.5984;7.235;0.000120583333333;0.000851091045752;2.99770519964e-05;0.000216883971194;0.000634207074558;3.48012283974e-05;0;0;0.000215607807632;0.000935596987125;-1.08420217249e-19;0.0;1;0.949997640883;0;2
311.411;6.8126;0.000113543333333;0.000935596987125;3.5371549478e-05;0.000240972217974;0.000694624769152;3.26695767436e-05;0;0;0.000239565969889;0.00101506449563;0.0;0.0;1;0.950001701637;0;2
317.8801;6.4691;0.000107818333333;0.00101506449563;4.07888739715e-05;0.000263867304609;0.000751197191021;3.09380364335e-05;0;0;0.000262340033195;0.00109041752112;-2.16840434497e-19;0.0;1;0.949994438143;0;2
324.0622;6.1821;0.000103035;0.00109041752112;4.62277855759e-05;0.000285784793209;0.000804632727908;2.94929896317e-05;0;0;0.000284144096245;0.00116231883452;0.0;0.0;1;0.950006182293;0;2
329.9992;5.937;9.895e-05;0.00116231883452;5.16867732588e-05;0.000306864372837;0.000855454461684;2.82604415564e-05;0;0;0.000305116866836;0.00123126088696;0.0;0.0;1;0.950002537187;0;2
335.7235;5.7243;9.5405e-05;0.00123126088696;5.71640231125e-05;0.000327224017503;0.000904036869461;2.71921320723e-05;0;0;0.000325375492417;0.00129762522981;0.0;0.0;1;0.950005197124;0;2
341.2606;5.5371;9.2285e-05;0.00129762522981;6.2657892561e-05;0.0003469430169;0.000950682212906;2.62530771831e-05;0;0;0.000344998679228;0.00136171281495;0.0;0.0;1;0.949992042245;0;2
346.6313;5.3707;8.95116666667e-05;0.00136171281495;6.816671069e-05;0.000366102953103;0.000995609861848;2.54193420867e-05;0;0;0.000364067430352;0.00142376961678;0.0;0.0;1;0.949998531083;0;2
