# Hydrograph at the point with coordinates: 49.7886753832 39.0876810083
# A pixel size is [m2]:
# 1.0
# Time[s];deltaTime[s];Rainfall[m];Waterlevel[m];V_runoff[m3];Q[m3/s];V_from_field[m3];V_rests_in_stream[m3]
0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;20.0;0.0005;0.0036220171829;0.00165577939045;8.27889695227e-05;0.0;0.0
60.0;20.0;0.0005;0.00418743548561;0.00816858064575;0.000408429032287;0.0;0.0
80.0;20.0;0.0005;0.00769285222455;0.0456790698717;0.00228395349359;0.0;0.0033171041009
100.0;20.0;0.0005;0.00833429358401;0.0522213645185;0.00261106822592;0.0;0.00432960787699
120.0;20.0;0.0005;0.0086164739906;0.055210472;0.0027605236;0.0;0.00467220176222
140.0;20.0;0.0005;0.00874651851472;0.0566105639218;0.00283052819609;0.0;0.00480923577888
160.0;20.0;0.0005;0.00880851675089;0.0572830311762;0.00286415155881;0.0;0.00486996319593
180.0;20.0;0.0005;0.0088383897822;0.0576081952717;0.00288040976359;0.0;0.00489816586641
200.0;20.0;0.0005;0.00885281404111;0.0577654676278;0.00288827338139;0.0;0.00491153759199
220.0;20.0;0.0005;0.00885978004542;0.0578414822547;0.00289207411274;0.0;0.00491793795996
240.0;20.0;0.0005;0.00886314383079;0.0578782031087;0.00289391015543;0.0;0.00492101524274
260.0;20.0;0.0005;0.00886913867858;0.0579436693714;0.00289718346857;4.82677993548e-05;0.00492647791867
280.0;20.0;0.0005;0.00890045514005;0.0582861442906;0.00291430721453;0.000217392593912;0.004954565268
300.0;20.0;0.0005;0.00899681511565;0.0593450401085;0.00296725200542;0.000357481139423;0.00503626855798
320.0;20.0;0.0005;0.00916508411372;0.06121257015;0.0030606285075;0.00047599188421;0.00516191935464
340.0;20.0;0.0005;0.00932971648296;0.0630623121121;0.0031531156056;0.000577950155052;0.00526401092312
360.0;20.0;0.0005;0.00947950169711;0.0647645310536;0.00323822655268;0.000666881950015;0.00533908795025
380.0;20.0;0.0005;0.00961405300137;0.0663092225978;0.00331546112989;0.000745344036856;0.00539213958493
400.0;20.0;0.0005;0.0097356983378;0.0677183998052;0.00338591999026;0.000815241622841;0.00542843568073
420.0;20.0;0.0005;0.00983989085775;0.0689349133165;0.00344674566583;0.000878027386374;0.00545075160234
440.0;20.0;0.0005;0.0099360497725;0.0700653938336;0.00350326969168;0.000934830911939;0.00546419035355
460.0;20.0;0.0005;0.010034942717;0.0712357667373;0.00356178833687;0.000986545574186;0.00547086973599
480.0;20.0;0.0005;0.0101333476772;0.0724081419068;0.00362040709534;0.00103388847244;0.00547035132791
500.0;20.0;0.0005;0.0102309925804;0.0735791077747;0.00367895538874;0.00107744276835;0.00546279510099
520.0;20.0;0.0005;0.0103286514074;0.0747578362479;0.0037378918124;0.00111768822372;0.00544824398309
540.0;20.0;0.0005;0.0104273301134;0.0759565678233;0.00379782839116;0.00115502363805;0.00542645891921
560.0;20.0;0.0005;0.0105280138071;0.0771876031909;0.00385938015955;0.00118978360843;0.0053969170145
580.0;20.0;0.0005;0.0106316059796;0.0784625541081;0.0039231277054;0.00122225123522;0.00535883515364
