# Hydrograph at the point with coordinates: 50.5234029704 14.8824713719
# A pixel size is [m2]:
# 1.0
# Time[s];deltaTime[s];Rainfall[m];Waterlevel[m];V_runoff[m3];Q[m3/s];V_from_field[m3];V_rests_in_stream[m3]
0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;20.0;0.0005;0.00243753942739;0.000975015802737;4.87507901369e-05;0.0;0.0
60.0;20.0;0.0005;0.00253844011128;0.00267157314124;0.000133578657062;0.0;0.0
80.0;20.0;0.0005;0.00293532033849;0.00870239401896;0.000435119700948;0.0;0.000650480209092
100.0;20.0;0.0005;0.00526079191767;0.0230370887554;0.00115185443777;0.0;0.0257237782003
120.0;20.0;0.0005;0.00718739816554;0.0387882508812;0.00193941254406;0.0;0.0429574222268
140.0;20.0;0.0005;0.00841974196028;0.0505257990817;0.00252628995408;0.0;0.0524781425808
160.0;20.0;0.0005;0.00908523969121;0.0573750689128;0.00286875344564;0.0;0.0571607061152
180.0;20.0;0.0005;0.00941156714277;0.0608609514131;0.00304304757065;0.0;0.0593427473177
200.0;20.0;0.0005;0.00944174285031;0.0611874763595;0.00305937381797;0.0;0.0595407802262
220.0;20.0;0.0005;0.00946266138267;0.0614142452492;0.00307071226246;0.0;0.0596776914126
240.0;20.0;0.0005;0.00947519633996;0.0615502936432;0.00307751468216;0.0;0.0597595872802
260.0;20.0;0.0005;0.00948608580153;0.0616685812762;0.00308342906381;6.63682241129e-05;0.059830644276
280.0;20.0;0.0005;0.00950781050273;0.0619048414582;0.00309524207291;0.000298922774027;0.0599721596147
300.0;20.0;0.0005;0.00954763944689;0.0623389356675;0.00311694678337;0.000491681080372;0.0602307600941
320.0;20.0;0.0005;0.00963476992877;0.0632928337561;0.00316464168781;0.000655104514664;0.0607926666157
340.0;20.0;0.0005;0.00978592711226;0.0649615409781;0.0032480770489;0.000796297082519;0.0617551109855
360.0;20.0;0.0005;0.00995844400012;0.0668874270626;0.00334437135313;0.000920276252698;0.062834469806
380.0;20.0;0.0005;0.0101282263393;0.0688049210463;0.00344024605231;0.00103070228917;0.0638769691004
400.0;20.0;0.0005;0.0102858380619;0.0706045151749;0.00353022575874;0.00113031813487;0.0648273020841
